"Player","Year","Rnd","Pick","Tm","ID","PosPro","Age","CollegeUniv","PosCollege","Ht","Wt","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle"
"Cody Whitehair",2016,2,56,"CHI","WhitCo03","G",24,"Kansas St.","OT",76,301,5.02,25.5,16,110,7.32,4.58
"Cole Toner",2016,5,170,"ARI","ToneCo00","T",22,"Harvard","OT",77,306,5.32,26,22,103,7.88,4.59
"Connor Cook",2016,4,100,"OAK","CookCo00","QB",23,"Michigan St.","QB",76,217,4.79,33,NA,113,7.21,4.28
"Connor McGovern",2016,5,144,"DEN","McGoCo00","G",23,"Missouri","OG",76,306,5.11,33,33,109,7.5,4.65
"Corey Coleman",2016,1,15,"CLE","ColeCo00","WR",22,"Baylor","WR",71,194,4.42,40.5,17,129,NA,NA
"Cyrus Jones",2016,2,60,"NWE","JoneCy00","CB",22,"Alabama","CB",70,197,4.49,33,10,116,6.71,4.21
"D.J. Reader",2016,5,166,"HOU","ReadD.00","NT",22,"Clemson","DT",75,327,5.33,29.5,30,99,7.9,4.71
"D.J. White",2016,6,178,"KAN","WhitD.00","CB",22,"Georgia Tech","CB",71,193,4.49,33,17,132,7.18,4.33
"Dadi Nicolas",2016,6,203,"KAN","NicoDa00","DE",23,"Virginia Tech","DE",75,235,4.74,41,14,116,7.04,4.38
"Dak Prescott",2016,4,135,"DAL","PresDa01","QB",23,"Mississippi St.","QB",74,226,4.79,32.5,NA,116,7.11,4.32
"Dan Vitale",2016,6,197,"TAM","VitaDa00","FB",22,"Northwestern","FB",73,239,4.6,38.5,30,123,7.12,4.12
"Daniel Lasco",2016,7,237,"NOR","LascDa00","RB",23,"California","RB",72,209,4.46,41.5,23,135,7.22,4.26
"Darian Thompson",2016,3,71,"NYG","ThomDa05","S",22,"Boise St.","FS",74,208,4.69,32.5,12,118,7.26,4.33
"Darron Lee",2016,1,20,"NYJ","LeexDa00","OLB",21,"Ohio St.","OLB",73,232,4.47,35.5,17,133,7.12,4.2
