"Player","Year","Rnd","Pick","Tm","ID","PosPro","Age","CollegeUniv","PosCollege","Ht","Wt","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle"
"Vadal Alexander",2016,7,234,"OAK","AlexVa00","G",22,"LSU","OT",77,326,5.57,24,25,95,8.04,4.9
"Vernon Butler",2016,1,30,"CAR","ButlVe00","DT",22,"Louisiana Tech","DT",76,323,5.33,29.5,26,104,7.82,4.76
"Vincent Valentine",2016,3,96,"NWE","ValeVi00","DT",22,"Nebraska","DT",76,329,5.19,29,17,110,8.03,4.59
"Vonn Bell",2016,2,61,"NOR","BellVo00","FS",21,"Ohio St.","FS",71,199,4.52,NA,16,NA,NA,NA
"Wendell Smallwood",2016,5,153,"PHI","SmalWe00","RB",22,"West Virginia","RB",70,208,4.47,33.5,14,120,6.83,4.28
"Will Fuller",2016,1,21,"HOU","FullWi01","WR",22,"Notre Dame","WR",72,186,4.32,33.5,10,126,6.93,4.27
"Will Redmond",2016,3,68,"SFO","RedmWi00","CB",22,"Mississippi St.","CB",71,182,4.45,NA,NA,NA,NA,NA
"Willie Beavers",2016,4,121,"MIN","BeavWi00","T",22,"West. Michigan","OT",77,321,5.28,25.5,20,103,7.96,4.71
"Willie Henry",2016,4,132,"BAL","HenrWi00","DT",22,"Michigan","DT",75,303,5,30.5,28,110,7.57,4.53
"Xavien Howard",2016,2,38,"MIA","HowaXa00","CB",23,"Baylor","CB",72,201,4.58,33,11,122,7.18,4.15
"Yannick Ngakoue",2016,3,69,"JAX","NgakYa00","DE",21,"Maryland","DE",74,252,4.75,34.5,26,118,7.35,4.5
"Zack Sanchez",2016,5,141,"CAR","SancZa00","CB",22,"Oklahoma","CB",71,185,4.5,35.5,19,116,NA,NA
